country_code,country,region,overall_score,goal_1_score,goal_2_score,goal_3_score,goal_4_score,goal_5_score,goal_6_score,goal_7_score,goal_8_score,goal_9_score,goal_10_score,goal_11_score,goal_12_score,goal_13_score,goal_14_score,goal_15_score,goal_16_score,goal_17_score
FIN,Finland,OECD,86.76059478,99.575,60.88675,95.38638462,97.16933333,92.11125,94.3276,93.0135,86.789,95.99571429,98.4685,91.23375,60.05957143,68.79366667,87.928,85.07,92.52109091,75.601
SWE,Sweden,OECD,85.98139698,98.8885,63.074125,96.904,99.76166667,91.44025,95.0576,97.9735,84.96642857,97.58628571,94.965,90.38925,56.83057143,70.031,69.34866667,80.1882,88.50845455,85.77025
DNK,Denmark,OECD,85.68363681,99.2155,71.02525,95.3985,99.33966667,86.998,90.7316,87.7305,87.56242857,96.98485714,98.156,93.0385,44.57171429,60.78066667,76.30333333,92.7924,93.84490909,82.148
DEU,Germany,OECD,83.35844651,99.5105,72.366,93.03935714,97.16266667,81.92025,88.4434,77.16175,86.96728571,95.78842857,88.147,90.0965,55.41285714,64.002,73.996,79.2318,89.45754545,84.39025
AUT,Austria,OECD,82.28018933,99.451,73.0675,92.468,97.91433333,84.57925,92.1636,86.0365,83.27414286,96.98214286,94.6345,92.47366667,49.62328571,57.332,,73.5836,87.91145455,71.13025
FRA,France,OECD,82.04834271,99.7285,72.390125,93.22457143,99.63,87.82325,89.2696,78.6155,85.306,92.77585714,87.4735,90.5295,60.51542857,73.83466667,65.6775,68.8246,76.09172727,73.1115
NOR,Norway,OECD,82.00448915,99.2225,60.794875,97.11514286,97.98733333,92.87925,83.6618,98.53825,85.93242857,92.443,99.406,91.16475,39.77528571,20.685,74.579,74.1232,91.742,94.0265
CZE,Czechia,OECD,81.87455223,99.8975,62.0535,90.15061538,93.87033333,74.32175,82.8758,75.963,88.04128571,83.795,100,94.51725,62.77957143,72.23566667,,92.4656,84.20427273,68.55825
POL,Poland,OECD,81.80017556,99.0405,67.4935,85.16946154,97.4505,73.14575,84.3816,71.18575,86.86428571,80.272,93.3845,87.79975,74.13328571,75.28033333,72.1365,92.8682,77.37281818,72.62425
EST,Estonia,OECD,81.68334647,99.9835,63.176,89.497,96.052,76.77775,84.074,77.99125,82.15542857,83.31514286,89.102,90.48225,52.60814286,61.46033333,87.50483333,96.1456,91.02390909,67.26775
GBR,United Kingdom,OECD,81.65314272,98.9565,68.3895,93.07633333,98.193,84.10475,94.3934,74.77475,83.99028571,91.82385714,71.4835,91.3135,63.475,70.944,76.065,86.1742,81.0501,59.89575
HRV,Croatia,E. Europe & C. Asia,81.49550882,99.9905,74.26,86.35785714,95.655,71.105,86.357,83.19925,82.74442857,74.67928571,94.184,80.7355,68.32542857,83.50566667,84.61133333,88.1698,72.1061,59.4375
SVN,Slovenia,OECD,81.00665366,99.401,66.608875,92.35528571,95.61125,77.04125,87.8138,80.1565,84.89914286,80.81085714,100,85.64666667,54.059,69.11766667,71.2948,83.5722,80.51381818,68.211
LVA,Latvia,OECD,80.68164288,99.9835,64.230125,84.30464286,97.83275,77.47225,89.1842,88.85275,84.46985714,77.00385714,72.641,86.69125,58.84042857,71.67533333,84.02616667,97.849,82.13981818,54.391
CHE,Switzerland,OECD,80.53738907,99.463,67.914125,96.02864286,98.525,85.917,90.5232,83.41725,81.592,97.21771429,82.425,99.05825,58.24171429,60.974,,66.3256,81.003875,54.37125
ESP,Spain,OECD,80.42509149,98.739,65.396625,94.23785714,97.4235,86.8665,87.3514,78.07425,79.36557143,90.24685714,81.36,91.88475,67.94171429,80.19866667,59.525,66.423,79.23936364,62.9525
IRL,Ireland,OECD,80.14793835,99.947,67.66175,94.441,98.985,77.6815,82.9052,74.77625,87.04242857,86.47328571,90.3215,90.78375,45.85842857,54.05266667,72.60933333,88.6492,89.11990909,61.20675
PRT,Portugal,OECD,80.01748718,99.9375,64.283,92.07335714,98.59225,84.22075,80.2702,83.45875,81.20557143,82.21685714,84.41,88.016,67.41828571,84.10766667,49.38916667,73.9162,80.88272727,65.899
